Season,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,wins_pyth,losses_pyth,Playoffs
2019/2020,Chicago Sky,12,10,.545,—,86.7,84.1,13,9,Yes
2019/2020,Connecticut Sun,10,12,.455,2.0,80.4,79.9,11,11,Yes
2019/2020,Washington Mystics,9,13,.409,3.0,80.0,81.5,10,12,Yes
2019/2020,Atlanta Dream,7,15,.318,5.0,81.0,87.6,5,17,No
2019/2020,Indiana Fever,6,16,.273,6.0,81.7,89.5,5,17,No
2019/2020,New York Liberty,2,20,.091,10.0,71.9,85.9,2,20,No
2019/2020,Las Vegas Aces,18,4,.818,—,88.7,80.1,18,4,Yes
2019/2020,Seattle Storm,18,4,.818,—,87.5,76.0,19,3,Yes
2019/2020,Los Angeles Sparks,15,7,.682,3.0,84.9,80.3,15,7,Yes
2019/2020,Minnesota Lynx,14,8,.636,4.0,84.4,80.6,14,8,Yes
2019/2020,Phoenix Mercury,13,9,.591,5.0,86.1,84.1,13,9,Yes
2019/2020,Dallas Wings,8,14,.364,10.0,83.4,87.0,8,14,No
2020/2021,Connecticut Sun,26,6,.813,—,79.7,69.9,28,4,Yes
2020/2021,Chicago Sky,16,16,.500,10.0,83.3,81.9,18,14,Yes
2020/2021,New York Liberty,12,20,.375,14.0,78.5,85.5,7,25,Yes
2020/2021,Washington Mystics,12,20,.375,14.0,79.8,83.6,11,21,No
2020/2021,Atlanta Dream,8,24,.250,18.0,78.7,84.3,9,23,No
2020/2021,Indiana Fever,6,26,.188,20.0,75.3,85.1,5,27,No
2020/2021,Las Vegas Aces,24,8,.750,—,89.3,80.2,26,6,Yes
2020/2021,Minnesota Lynx,22,10,.688,2.0,82.7,78.7,21,11,Yes
2020/2021,Seattle Storm,21,11,.656,3.0,84.8,80.4,22,10,Yes
2020/2021,Phoenix Mercury,19,13,.594,5.0,82.1,79.5,19,13,Yes
2020/2021,Dallas Wings,14,18,.438,10.0,81.1,81.7,15,17,Yes
2020/2021,Los Angeles Sparks,12,20,.375,12.0,72.8,77.1,10,22,No
